League,On_base_percentage,Slugging_percentage,Batting_average,Opponent_on_base_percentage,Opponent_slugging_percentage,Win_percentage,decade60s,decade70s,decade80s,decade90s,decade2000s,decade2010s
1,0.319,0.381,0.244,0.342,0.423,0.4472049689440994,0,0,0,0,1,0
1,0.321,0.381,0.253,0.346,0.442,0.4074074074074074,0,0,0,0,1,0
0,0.35,0.419,0.275,0.315,0.41,0.5740740740740741,0,0,0,0,1,0
1,0.344,0.442,0.267,0.319,0.372,0.5864197530864198,0,0,0,0,1,0
1,0.338,0.425,0.268,0.323,0.386,0.5987654320987654,0,0,0,0,1,0
0,0.314,0.39,0.253,0.357,0.463,0.3416149068322981,0,0,0,0,1,0
0,0.338,0.455,0.269,0.355,0.451,0.4444444444444444,0,0,0,0,1,0
0,0.327,0.43,0.261,0.344,0.431,0.48148148148148145,0,0,0,0,1,0
0,0.327,0.405,0.261,0.331,0.412,0.46296296296296297,0,0,0,0,1,0
1,0.341,0.442,0.267,0.311,0.404,0.5679012345679012,0,0,0,0,1,0
1,0.324,0.412,0.26,0.314,0.384,0.5432098765432098,0,0,0,0,1,0
0,0.319,0.38,0.248,0.337,0.439,0.3888888888888889,0,0,0,0,1,0
0,0.334,0.439,0.266,0.329,0.393,0.5093167701863354,0,0,0,0,1,0
1,0.336,0.43,0.261,0.321,0.398,0.5432098765432098,0,0,0,0,1,0
0,0.334,0.451,0.268,0.334,0.427,0.5123456790123457,0,0,0,0,1,0
1,0.324,0.419,0.262,0.341,0.455,0.4074074074074074,0,0,0,0,1,0
0,0.35,0.458,0.278,0.341,0.417,0.5617283950617284,0,0,0,0,1,0
1,0.354,0.483,0.292,0.35,0.48,0.4506172839506173,0,0,0,0,1,0
0,0.32,0.409,0.26,0.357,0.461,0.4074074074074074,0,0,0,0,1,0
1,0.326,0.423,0.264,0.338,0.411,0.4691358024691358,0,0,0,0,1,0
1,0.347,0.451,0.271,0.325,0.437,0.5740740740740741,0,0,0,0,1,0
0,0.318,0.409,0.266,0.348,0.45,0.4012345679012346,0,0,0,0,1,0
1,0.323,0.425,0.255,0.323,0.411,0.5308641975308642,0,0,0,0,1,0
1,0.319,0.426,0.251,0.35,0.44,0.41975308641975306,0,0,0,0,1,0
0,0.337,0.433,0.272,0.325,0.437,0.5246913580246914,0,0,0,0,1,0
1,0.319,0.396,0.253,0.339,0.441,0.41975308641975306,0,0,0,0,1,0
1,0.323,0.387,0.249,0.314,0.419,0.5061728395061729,0,0,0,0,1,0
0,0.334,0.435,0.267,0.318,0.398,0.5900621118012422,0,0,0,0,1,0
0,0.345,0.439,0.264,0.308,0.38,0.6296296296296297,0,0,0,0,1,0
1,0.329,0.414,0.26,0.329,0.424,0.5308641975308642,0,0,0,0,1,0
1,0.313,0.393,0.247,0.344,0.433,0.38271604938271603,0,0,0,0,1,0
1,0.336,0.399,0.252,0.33,0.45,0.4876543209876543,0,0,0,0,1,0
0,0.36,0.445,0.288,0.301,0.378,0.7160493827160493,0,0,0,0,1,0
1,0.342,0.46,0.266,0.329,0.404,0.5555555555555556,0,0,0,0,1,0
1,0.339,0.441,0.27,0.328,0.428,0.5740740740740741,0,0,0,0,1,0
0,0.32,0.388,0.258,0.345,0.452,0.38271604938271603,0,0,0,0,1,0
0,0.344,0.471,0.275,0.362,0.494,0.4506172839506173,0,0,0,0,1,0
0,0.325,0.43,0.263,0.339,0.435,0.49382716049382713,0,0,0,0,1,0
0,0.352,0.472,0.28,0.351,0.453,0.5061728395061729,0,0,0,0,1,0
1,0.333,0.429,0.265,0.326,0.424,0.5246913580246914,0,0,0,0,1,0
1,0.346,0.429,0.271,0.319,0.402,0.5864197530864198,0,0,0,0,1,0
0,0.341,0.435,0.272,0.352,0.449,0.4567901234567901,0,0,0,0,1,0
0,0.341,0.423,0.267,0.322,0.411,0.5246913580246914,0,0,0,0,1,0
1,0.335,0.411,0.256,0.348,0.452,0.4012345679012346,0,0,0,0,1,0
0,0.356,0.47,0.286,0.346,0.434,0.5864197530864198,0,0,0,0,1,0
1,0.343,0.447,0.274,0.341,0.438,0.5214723926380368,0,0,0,0,1,0
0,0.367,0.47,0.288,0.35,0.425,0.5555555555555556,0,0,0,0,1,0
1,0.362,0.455,0.294,0.354,0.471,0.5061728395061729,0,0,0,0,1,0
0,0.343,0.438,0.275,0.34,0.443,0.4876543209876543,0,0,0,0,1,0
1,0.331,0.409,0.262,0.348,0.429,0.4906832298136646,0,0,0,0,1,0
1,0.361,0.477,0.278,0.353,0.476,0.4444444444444444,0,0,0,0,1,0
0,0.348,0.425,0.288,0.362,0.474,0.47530864197530864,0,0,0,0,1,0
1,0.341,0.431,0.257,0.332,0.407,0.5308641975308642,0,0,0,0,1,0
1,0.325,0.403,0.246,0.357,0.42,0.44785276073619634,0,0,0,0,1,0
0,0.337,0.407,0.27,0.347,0.466,0.42592592592592593,0,0,0,0,1,0
1,0.326,0.432,0.266,0.353,0.449,0.41358024691358025,0,0,0,0,1,0
1,0.346,0.43,0.263,0.327,0.403,0.5802469135802469,0,0,0,0,1,0
0,0.354,0.45,0.277,0.336,0.422,0.5403726708074534,0,0,0,0,1,0
0,0.36,0.458,0.27,0.348,0.423,0.5652173913043478,0,0,0,0,1,0
1,0.329,0.4,0.251,0.343,0.448,0.4012345679012346,0,0,0,0,1,0
1,0.339,0.424,0.267,0.361,0.432,0.42592592592592593,0,0,0,0,1,0
1,0.33,0.402,0.254,0.34,0.416,0.4691358024691358,0,0,0,0,1,0
0,0.361,0.442,0.269,0.339,0.416,0.5617283950617284,0,0,0,0,1,0
1,0.362,0.472,0.278,0.342,0.412,0.5987654320987654,0,0,0,0,1,0
1,0.356,0.455,0.27,0.338,0.434,0.5864197530864198,0,0,0,0,1,0
0,0.329,0.399,0.257,0.345,0.451,0.42857142857142855,0,0,0,0,1,0
0,0.352,0.446,0.283,0.369,0.475,0.4382716049382716,0,0,0,0,1,0
0,0.341,0.469,0.275,0.354,0.456,0.5123456790123457,0,0,0,0,1,0
0,0.322,0.395,0.256,0.346,0.427,0.43209876543209874,0,0,0,1,0,0
1,0.347,0.459,0.277,0.32,0.402,0.6172839506172839,0,0,0,1,0,0
1,0.341,0.436,0.266,0.314,0.377,0.6358024691358025,0,0,0,1,0,0
0,0.353,0.447,0.279,0.35,0.441,0.48148148148148145,0,0,0,1,0,0
0,0.35,0.448,0.278,0.315,0.398,0.5802469135802469,0,0,0,1,0,0
1,0.329,0.42,0.257,0.346,0.467,0.41358024691358025,0,0,0,1,0,0
0,0.337,0.429,0.277,0.353,0.447,0.46296296296296297,0,0,0,1,0,0
1,0.341,0.451,0.272,0.324,0.411,0.588957055214724,0,0,0,1,0,0
0,0.373,0.467,0.289,0.347,0.439,0.5987654320987654,0,0,0,1,0,0
1,0.348,0.472,0.288,0.384,0.499,0.4444444444444444,0,0,0,1,0,0
0,0.326,0.443,0.261,0.349,0.451,0.42857142857142855,0,0,0,1,0,0
1,0.325,0.395,0.263,0.359,0.44,0.3950617283950617,0,0,0,1,0,0
1,0.355,0.42,0.267,0.326,0.397,0.5987654320987654,0,0,0,1,0,0
0,0.348,0.433,0.282,0.365,0.454,0.39751552795031053,0,0,0,1,0,0
1,0.339,0.42,0.266,0.336,0.422,0.47530864197530864,0,0,0,1,0,0
1,0.353,0.426,0.273,0.356,0.457,0.45962732919254656,0,0,0,1,0,0
0,0.328,0.384,0.264,0.342,0.465,0.391304347826087,0,0,0,1,0,0
1,0.323,0.427,0.265,0.342,0.418,0.41975308641975306,0,0,0,1,0,0
1,0.363,0.434,0.279,0.331,0.418,0.5950920245398773,0,0,0,1,0,0
0,0.366,0.453,0.282,0.329,0.4,0.6049382716049383,0,0,0,1,0,0
0,0.355,0.446,0.259,0.344,0.428,0.5370370370370371,0,0,0,1,0,0
1,0.351,0.431,0.275,0.347,0.447,0.47530864197530864,0,0,0,1,0,0
1,0.334,0.419,0.259,0.343,0.42,0.484472049689441,0,0,0,1,0,0
1,0.332,0.393,0.252,0.333,0.43,0.4567901234567901,0,0,0,1,0,0
0,0.343,0.455,0.269,0.368,0.454,0.4876543209876543,0,0,0,1,0,0
1,0.356,0.434,0.271,0.345,0.423,0.5308641975308642,0,0,0,1,0,0
1,0.338,0.426,0.262,0.355,0.427,0.4658385093167702,0,0,0,1,0,0
0,0.343,0.411,0.274,0.371,0.448,0.42592592592592593,0,0,0,1,0,0
0,0.361,0.479,0.293,0.346,0.459,0.5864197530864198,0,0,0,1,0,0
0,0.352,0.457,0.28,0.353,0.456,0.5185185185185185,0,0,0,1,0,0
